Floor,VAV #,Room #
1,S1-01,132 Mech Steam
1,S1-02,148 Laser Lab
1,S1-03,170 Elev Lobby
1,S1-04,149 MDC Mech
1,S1-05,171 Riser Closet
1,S1-06,175 Electrical
1,S1-07,177 Womens Bath
1,S1-08,160 Corridor
1,S1-09,168 Plumbing
1,S1-10,148 Laser Lab
1,S1-13,
1,S1-14,
1,S1-15,
1,S1-16,
1,S1-17,
1,S1-18,
1,S1-19,
1,S1-20,

2,S2-01,212 Vestibule
2,S2-02,212 Hallway
2,S2-03,222 Womens Bath
2,S2-04,238 Breakout
2,S2-05,240 Classroom
2,S2-06,250 Classroom
2,S2-07,270 Elev Lobby
2,S2-08,271 Riser Closet
2,S2-09,275 Electrical
2,S2-10,266C Office
2,S2-11,254 Classroom
2,S2-12,260 Hallway
2,S2-13,266 Receiving
2,S2-14,277 Womens Bath
2,S2-15,Cybercafe 210
2,S2-16,Cybercafe 210
2,S2-17,Cybercafe 210A
2,S2-18,Kitchen 214
2,S2-19,Comp Lab 200
2,S2-20,Comp Lab 200A
2,S2-21,Comp Lab 200AA

3,S3-01,300 Pre Lobby
3,S3-02,306 Breakout
3,S3-03,330F Office
3,S3-04,330E Office
3,S3-05,330C Office
3,S3-06,330B Office
3,S3-07,310 Auditorium
3,S3-08,330 Learning
3,S3-09,310 Auditorium
3,S3-10,340 Lobby
3,S3-11,300 Pre Lobby
3,S3-12,370 Elev Lobby
3,S3-13,371 IDF Closet
3,S3-14,375 Electrical
3,S3-15,345 Display
3,S3-16,356D Office
3,S3-17,356 Open Office
3,S3-18,377 Womens Bath
3,S3-19,356F Office
3,S3-20,361 Exit Passage
3,S3-21,368 Conference

4,S4-01,Office 413 & Hallway 410
4,S4-02,PANTRY 430 / OPOF 432
4,S4-03,OPOF 434
4,S4-04,OPOF 440 & 432
4,S4-05,"OFFICE 446, 444, 442"
4,S4-06,"OFFICE 421, 419, 417, 415"
4,S4-07,"OFFICE 424, 426, 422, Storage 418, Hallway 410"
4,S4-08,"OFFICE 423, 425"
4,S4-09,"OFFICE 452, 454, 456, 448"
4,S4-10,EMERGENCY ELECTRICAL
4,S4-11,ELEV LOBBY 470
4,S4-12,OPOF 450
4,S4-13,OPOF 450
4,S4-14,OPOF riser 471
4,S4-15,CONF 458
4,S4-16,"OFFICE 464, 462"
4,S4-17,ELEC 475
4,S4-18,"OPOF 460, 468"
4,S4-19,Mens & Womens restrooms
4,S4-20,OPOF 466
4,S4-21,"OPOF 468, Lobby 472"

5,S5-01,510 Office
5,S5-02,511 Office
5,S5-03,532 Open Office
5,S5-04,532 Open Office
5,S5-05,538 Open Office
5,S5-06,515 Office
5,S5-07,548 Open Office
5,S5-08,520 Microfab Office
5,S5-09,500 Hallway
5,S5-10,520CMicrofab Office
5,S5-11,570 Elev Lobby
5,S5-12,550 Open Office
5,S5-13,548 Open Office
5,S5-14,554 Conference Room
5,S5-15,571 Riser Closet
5,S5-16,558 Office
5,S5-17,575 Electrical
5,S5-18,568 Open Office
5,S5-19,577 Womens Bath
5,S5-20,566 Open Office
5,S5-21,568 Open Office

6,S6-01,630 Conference
6,S6-02,640 Office
6,S6-03,646 Office
6,S6-04,630B Pantry
6,S6-05,630A Lounge
6,S6-06,621C Office
6,S6-07,621A Office
6,S6-08,621 Open Research
6,S6-09,629 Emer Elect
6,S6-10,621 Open Research
6,S6-11,670 Elev Lobby
6,S6-12,652 Cubicles
6,S6-13,652A Office
6,S6-14,671 IDF Closet
6,S6-15,656B Office
6,S6-16,675 Electrical
6,S6-17,656 Cubicles
6,S6-18,677 Womens Bath
6,S6-19,650 Hallway
6,S6-20,668 Research

7,S7-01,736 Open Office
7,S7-02,730 Conference
7,S7-03,738 Open Office
7,S7-04,738 Open Office
7,S7-05,725 Office
7,S7-06,721 Office
7,S7-07,770 Elev Lobby
7,S7-08,722 Office
7,S7-09,750 Open Office
7,S7-10,750 Open Office
7,S7-11,771 Riser Closet
7,S7-12,775 Electrical
7,S7-13,756 Office
7,S7-14,766 Office
7,S7-15,777 Womens Bath
7,S7-16,768 Open Office
